processo;embarque;supplier;modal;data_etd;data_entrega;quantidade;valor_produto;frete;impostos;custo_total_real;custo_unitario;variacao_cambial;lead_time_total;dias_desembaraco;pallets;custo_por_pallet;percentual_frete;percentual_impostos
GOC25058;1;Dacen;Aéreo;03/09/2025;16/09/2025;1320;69960,0;20685,2;207796,12;298441,32;226,09;0,0;13,0;12,0;0,0;;0,0693;0,6963
GOC24132;11;Everich;Fcl;28/08/2025;22/10/2025;1512;4536,0;150,91;9664,95;14351,86;9,49;-0,02;55,0;19,0;2,0;7175,93;0,0105;0,6734
BBI25036;4;Yns;Fcl;03/09/2025;29/10/2025;15410;74239,2;2452,22;225231,16;301922,58;19,59;0,04;56,0;16,0;55,0;5489,5;0,0081;0,746
BBI25036;5;Yns;Fcl;03/09/2025;27/10/2025;17012;84147,72;2779,51;255375,02;342302,25;20,12;0,04;54,0;14,0;49,0;6985,76;0,0081;0,7461
BBI25036;6;Yns;Fcl;03/09/2025;27/10/2025;15340;73972,2;2443,4;224508,54;300924,14;19,62;0,04;54,0;14,0;55,0;5471,35;0,0081;0,7461
BBI25036;7;Yns;Fcl;03/09/2025;29/10/2025;17680;87630,0;2894,54;265928,77;356453,31;20,16;0,04;56,0;16,0;55,0;6480,97;0,0081;0,746
BBI25015;14;Everich;Fcl;15/09/2025;30/10/2025;14886;44614,5;1450,0;88245,75;134310,25;9,02;-0,05;45,0;18,0;28,0;4796,79;0,0108;0,657
BBI25015;15;Everich;Fcl;15/09/2025;30/10/2025;20451;85731,0;2900,0;169601,66;258232,66;12,63;-0,05;45,0;18,0;53,0;4872,31;0,0112;0,6568
BBI25025;9;At Express;Fcl;09/09/2025;31/10/2025;2794;17461,82;3350,0;36996,16;57807,98;20,69;0,23;52,0;21,0;42,0;1376,38;0,058;0,64
BBI25025;10;At Express;Fcl;09/09/2025;31/10/2025;2794;17461,82;3350,0;36996,16;57807,98;20,69;0,23;52,0;21,0;42,0;1376,38;0,058;0,64
BBI25025;11;At Express;Fcl;09/09/2025;05/11/2025;2794;17461,82;3350,0;37232,92;58044,74;20,77;0,23;57,0;26,0;42,0;1382,02;0,0577;0,6415
BBI25025;12;At Express;Fcl;09/09/2025;05/11/2025;2794;17461,82;3350,0;37232,92;58044,74;20,77;0,23;57,0;26,0;42,0;1382,02;0,0577;0,6415
BBI25025;13;At Express;Fcl;09/09/2025;31/10/2025;2794;17461,82;3350,0;36996,17;57807,99;20,69;0,23;52,0;21,0;42,0;1376,38;0,058;0,64
BBI25025;14;At Express;Fcl;09/09/2025;04/11/2025;2794;17461,82;3350,0;37110,52;57922,34;20,73;0,23;56,0;25,0;44,0;1316,42;0,0578;0,6407
BBI25025;15;At Express;Fcl;09/09/2025;04/11/2025;2794;17461,82;3350,0;37110,53;57922,35;20,73;0,23;56,0;25,0;44,0;1316,42;0,0578;0,6407
GOC25064;1;Shenzhen Ilinois;Aéreo;08/09/2025;19/09/2025;15;18040,0;650,0;9952,97;28642,97;1909,53;0,0;11,0;10,0;0,0;;0,0227;0,3475
BBI25016;20;Lanrun;Fcl;15/09/2025;03/11/2025;24640;80768,0;2900,0;163629,64;247297,64;10,04;-0,03;49,0;22,0;54,0;4579,59;0,0117;0,6617
BBI25016;21;Lanrun;Fcl;15/09/2025;03/11/2025;23640;80376,0;2900,0;162736,62;246012,62;10,41;-0,03;49,0;22,0;53,0;4641,75;0,0118;0,6615
BBI25018;12;Yns;Fcl;03/09/2025;29/10/2025;200;918,0;30,33;2852,59;3800,92;19,0;0,04;56,0;16,0;1,0;3800,92;0,008;0,7505
BBI25015;17;Everich;Fcl;09/10/2025;21/11/2025;22924;98573,2;1000,0;194868,76;294441,96;12,84;-0,04;43,0;12,0;40,0;7361,05;0,0034;0,6618
BBI25015;16;Everich;Fcl;16/10/2025;01/12/2025;21630;83478,0;2250,0;163227,48;248955,48;11,51;-0,07;46,0;15,0;51,0;4881,48;0,009;0,6556
BBI25016;22;Lanrun;Fcl;15/09/2025;06/11/2025;32000;99840,0;2900,0;192919,44;295659,44;9,24;-0,03;52,0;25,0;50,0;5913,19;0,0098;0,6525
BBI25016;23;Lanrun;Fcl;15/09/2025;06/11/2025;34640;99674,4;2900,0;192656,49;295230,89;8,52;-0,03;52,0;25,0;50,0;5904,62;0,0098;0,6526
BBI25036;8;Yns;Fcl;28/09/2025;14/11/2025;22300;95534,4;3800,0;293215,55;392549,95;17,6;0,18;47,0;11,0;43,0;9129,07;0,0097;0,747
BBI25036;9;Yns;Fcl;29/09/2025;14/11/2025;16448;86316,88;3800,0;265038,11;355154,99;21,59;0,16;46,0;11,0;48,0;7399,06;0,0107;0,7463
GOC24132;12;Everich;Fcl;15/09/2025;30/10/2025;16480;53320,0;1450,0;105604,86;160374,86;9,73;-0,05;45,0;18,0;30,0;5345,83;0,009;0,6585
BBI25052;1;Yiwu Honglu;Fcl;24/09/2025;10/11/2025;18225;61600,5;1995,0;140605,37;204200,87;11,2;-0,01;47,0;15,0;24,0;8508,37;0,0098;0,6886
GOC25056;1;Wenzhou Yuanfei;Aéreo;05/10/2025;22/10/2025;24200;50941,2;21011,32;100345,7;172298,22;7,12;0,01;17,0;11,0;32,0;5384,32;0,1219;0,5824
BBI25015;18;Everich;Fcl;09/10/2025;21/11/2025;25860;90820,2;1000,0;185815,0;277635,2;10,74;-0,04;43,0;12,0;56,0;4957,77;0,0036;0,6693
BBI25014;4;Parisun;Fcl;27/09/2025;17/11/2025;8360;55532,1;2950,0;170947,12;229429,22;27,44;-0,19;51,0;15,0;45,0;5098,43;0,0129;0,7451
BBI25014;5;Parisun;Fcl;05/10/2025;25/11/2025;3850;34995,5;2400,1;94322,81;131718,41;34,21;-0,06;51,0;16,0;39,0;3377,4;0,0182;0,7161
BBI25044;1;Parisun;Fcl;05/10/2025;25/11/2025;2016;8668,8;549,9;45626,48;54845,18;27,2;-0,06;51,0;16,0;7,0;7835,03;0,01;0,8319
BBI25016;24;Lanrun;Fcl;01/10/2025;01/12/2025;32560;101587,2;2250,0;205212,57;309049,77;9,49;0,04;61,0;18,0;50,0;6181,0;0,0073;0,664
BBI25036;13;Yns;Fcl;28/09/2025;13/11/2025;18110;83725,5;3392,33;242693,68;329811,51;18,21;0,18;46,0;10,0;49,0;6730,85;0,0103;0,7359
BBI25036;14;Yns;Fcl;28/09/2025;13/11/2025;20736;72130,24;2179,01;277834,82;352144,07;16,98;0,18;46,0;10,0;55,0;6402,62;0,0062;0,789
BBI25036;15;Yns;Fcl;28/09/2025;13/11/2025;3000;17874,0;539,96;40218,9;58632,86;19,54;0,18;46,0;10,0;14,0;4188,06;0,0092;0,6859
BBI25047;1;Yns;Fcl;28/09/2025;13/11/2025;10750;55900,0;1688,7;143826,54;201415,24;18,74;0,18;46,0;10,0;26,0;7746,74;0,0084;0,7141
BBI25016;25;Lanrun;Fcl;09/10/2025;24/11/2025;28800;88856,0;2250,0;176169,85;267275,85;9,28;0,16;46,0;15,0;52,0;5139,92;0,0084;0,6591
BBI25036;10;Yns;Fcl;21/10/2025;27/11/2025;17654;87856,14;753,4;246066,89;334676,43;18,96;0,09;37,0;11,0;44,0;7606,28;0,0023;0,7352
BBI25036;11;Yns;Fcl;21/10/2025;27/11/2025;21300;89460,0;701,63;250647,82;340809,45;16,0;0,09;37,0;11,0;36,0;9466,93;0,0021;0,7354
BBI25036;12;Yns;Fcl;21/10/2025;28/11/2025;26210;114970,2;754,97;321990,8;437715,97;16,7;0,09;38,0;12,0;47,0;9313,11;0,0017;0,7356
GOC25081;1;Newcom;Fcl;28/09/2025;13/11/2025;30;300,0;20,0;2423,99;2743,99;91,47;0,04;46,0;10,0;0,0;;0,0073;0,8834
GOC25056;2;Wenzhou Yuanfei;Fcl;07/10/2025;05/12/2025;38750;79211,45;1750,0;132054,99;213016,44;5,5;0,0;59,0;12,0;40,0;5325,41;0,0082;0,6199
BBI25036;16;Yns;Fcl;08/10/2025;19/11/2025;15260;73694,1;2490,07;226463,36;302647,53;19,83;0,06;42,0;8,0;55,0;5502,68;0,0082;0,7483
BBI25036;17;Yns;Fcl;08/10/2025;19/11/2025;11340;55763,4;1884,21;171398,23;229045,84;20,2;0,06;42,0;8,0;49,0;4674,4;0,0082;0,7483
GOC24129;15;Yns;Fcl;08/10/2025;19/11/2025;1670;6680,0;225,72;20685,54;27591,26;16,52;0,06;42,0;8,0;3,0;9197,09;0,0082;0,7497
BBI25048;1;At Express;Fcl;04/10/2025;02/12/2025;1394;13243,0;2300,0;28452,14;43995,14;31,56;-0,11;59,0;19,0;41,0;1073,05;0,0523;0,6467
BBI25048;2;At Express;Fcl;04/10/2025;02/12/2025;1394;13243,0;2300,0;28452,14;43995,14;31,56;-0,11;59,0;19,0;41,0;1073,05;0,0523;0,6467
BBI25048;3;At Express;Fcl;04/10/2025;02/12/2025;1394;13243,0;2300,0;28452,14;43995,14;31,56;-0,11;59,0;19,0;41,0;1073,05;0,0523;0,6467
BBI25048;4;At Express;Fcl;04/10/2025;03/12/2025;1394;13243,0;2300,0;28452,14;43995,14;31,56;-0,11;60,0;20,0;41,0;1073,05;0,0523;0,6467
BBI25048;5;At Express;Fcl;04/10/2025;03/12/2025;1394;13243,0;2300,0;28452,13;43995,13;31,56;-0,11;60,0;20,0;41,0;1073,05;0,0523;0,6467
BBI25048;6;At Express;Fcl;09/10/2025;08/12/2025;1394;13243,0;2300,0;28107,05;43650,05;31,31;-0,06;60,0;18,0;41,0;1064,64;0,0527;0,6439
BBI25048;7;At Express;Fcl;09/10/2025;08/12/2025;1394;13243,0;2300,0;28107,05;43650,05;31,31;-0,06;60,0;18,0;41,0;1064,64;0,0527;0,6439
BBI25048;8;At Express;Fcl;09/10/2025;08/12/2025;1394;13243,0;2300,0;28107,05;43650,05;31,31;-0,06;60,0;18,0;41,0;1064,64;0,0527;0,6439
BBI25048;9;At Express;Fcl;09/10/2025;09/12/2025;1394;13243,0;2300,0;28107,05;43650,05;31,31;-0,06;61,0;19,0;41,0;1064,64;0,0527;0,6439
BBI25048;10;At Express;Fcl;09/10/2025;09/12/2025;1394;13243,0;2300,0;28107,04;43650,04;31,31;-0,06;61,0;19,0;42,0;1039,29;0,0527;0,6439
BBI25015;19;Everich;Fcl;15/10/2025;28/11/2025;20211;75755,1;2063,85;146886,57;224705,52;11,12;-0,1;44,0;12,0;46,0;4884,9;0,0092;0,6537
BBI25015;20;Everich;Fcl;15/10/2025;01/12/2025;11764;37833,5;1092,73;73362,62;112288,85;9,55;-0,1;47,0;15,0;0,0;;0,0097;0,6533
BBI25060;2;Everich;Fcl;15/10/2025;01/12/2025;10488;40068,0;1157,27;77715,84;118941,11;11,34;-0,1;47,0;15,0;0,0;;0,0097;0,6534
GOC25055;1;Ycymo Technology;Aéreo;23/10/2025;12/11/2025;2472;4202,4;1108,92;11245,28;16556,6;6,7;-0,03;20,0;15,0;4,0;4139,15;0,067;0,6792
BBI25011;3;Everich;Fcl;09/10/2025;21/11/2025;3344;19103,0;1250,0;37758,73;58111,73;17,38;-0,04;43,0;12,0;7,0;8301,68;0,0215;0,6498
GOC24132;13;Everich;Fcl;09/10/2025;21/11/2025;216;648,0;1250,0;1299,89;3197,89;14,81;-0,04;43,0;12,0;1,0;3197,89;0,3909;0,4065
BBI25016;26;Lanrun;Fcl;09/10/2025;24/11/2025;31680;99166,4;2250,0;196216,24;297632,64;9,39;0,16;46,0;15,0;49,0;6074,14;0,0076;0,6593
BBI25016;27;Lanrun;Fcl;15/10/2025;03/12/2025;37000;82398,4;2250,0;166141,51;250789,91;6,78;0,08;49,0;17,0;45,0;5573,11;0,009;0,6625
BBI25036;18;Yns;Fcl;27/10/2025;10/12/2025;15450;81396,0;2500,0;240467,04;324363,04;20,99;0,26;44,0;16,0;53,0;6120,06;0,0077;0,7414
BBI25036;19;Yns;Fcl;27/10/2025;10/12/2025;19440;96853,5;2500,0;286111,92;385465,42;19,83;0,26;44,0;16,0;55,0;7008,46;0,0065;0,7423
BBI25060;1;Everich;Fcl;15/10/2025;28/11/2025;1752;6832,8;186,15;13264,89;20283,84;11,58;-0,1;44,0;12,0;6,0;3380,64;0,0092;0,654
BBI25011;4;Everich;Fcl;03/11/2025;17/12/2025;630;1512,0;36,44;2996,04;4544,48;7,21;0,1;44,0;17,0;0,0;;0,008;0,6593
BBI25015;21;Everich;Fcl;03/11/2025;17/12/2025;28539;98194,2;2366,8;194572,9;295133,9;10,34;0,1;44,0;17,0;58,0;5088,52;0,008;0,6593
BBI25016;28;Lanrun;Fcl;03/11/2025;15/12/2025;38380;81118,6;2450,0;169745,71;253314,31;6,6;0,12;42,0;15,0;43,0;5891,03;0,0097;0,6701
BBI25048;11;At Express;Fcl;21/10/2025;10/12/2025;1394;13243,0;2500,0;28928,07;44671,07;32,05;0,01;50,0;16,0;41,0;1089,54;0,056;0,6476
BBI25048;12;At Express;Fcl;21/10/2025;11/12/2025;1394;13243,0;2500,0;28928,07;44671,07;32,05;0,01;51,0;17,0;41,0;1089,54;0,056;0,6476
BBI25048;13;At Express;Fcl;21/10/2025;12/12/2025;1394;13243,0;2500,0;28482,81;44225,81;31,73;0,01;52,0;18,0;41,0;1078,68;0,0565;0,644
BBI25048;14;At Express;Fcl;21/10/2025;11/12/2025;1394;13243,0;2500,0;28928,07;44671,07;32,05;0,01;51,0;17,0;41,0;1089,54;0,056;0,6476
BBI25048;15;At Express;Fcl;21/10/2025;12/12/2025;1394;13243,0;2500,0;28482,81;44225,81;31,73;0,01;52,0;18,0;41,0;1078,68;0,0565;0,644
BBI25048;16;At Express;Fcl;21/10/2025;12/12/2025;1394;13243,0;2500,0;28482,81;44225,81;31,73;0,01;52,0;18,0;41,0;1078,68;0,0565;0,644
BBI25048;17;At Express;Fcl;21/10/2025;11/12/2025;1394;13243,0;2500,0;28928,07;44671,07;32,05;0,01;51,0;17,0;41,0;1089,54;0,056;0,6476
BBI25048;18;At Express;Fcl;21/10/2025;15/12/2025;1394;13243,0;2500,0;28482,81;44225,81;31,73;0,01;55,0;21,0;41,0;1078,68;0,0565;0,644
BBI25048;19;At Express;Fcl;21/10/2025;15/12/2025;2187;13250,93;2500,0;28482,8;44233,73;20,23;0,01;55,0;21,0;46,0;961,6;0,0565;0,6439
BBI25015;22;Everich;Fcl;30/10/2025;17/12/2025;16725;71058,0;2450,0;153181,73;226689,73;13,55;0,17;48,0;16,0;47,0;4823,19;0,0108;0,6757
BBI25015;23;Everich;Fcl;30/10/2025;16/12/2025;25002;89053,2;2450,0;182667,15;274170,35;10,97;0,17;47,0;15,0;53,0;5173,03;0,0089;0,6663
BBI25036;20;Yns;Fcl;02/11/2025;19/12/2025;27804;84473,76;2600,0;252263,99;339337,75;12,2;0,15;47,0;11,0;50,0;6786,76;0,0077;0,7434
BBI25036;21;Yns;Fcl;02/11/2025;19/12/2025;16840;87862,8;2600,0;262384,68;352847,48;20,95;0,15;47,0;11,0;54,0;6534,21;0,0074;0,7436
BBI25036;22;Yns;Fcl;02/11/2025;19/12/2025;21180;88956,0;2600,0;265649,3;357205,3;16,87;0,15;47,0;11,0;36,0;9922,37;0,0073;0,7437
BBI25074;1;Parisun;Fcl;02/11/2025;30/12/2025;11240;60696,0;2380,0;173987,36;237063,36;21,09;0,15;58,0;16,0;57,0;4159,01;0,01;0,7339
BBI25014;6;Parisun;Fcl;01/11/2025;26/12/2025;21574;114970,6;4600,0;321543,17;441113,77;20,45;0,17;55,0;17,0;97,0;4547,56;0,0104;0,7289
BBI25016;29;Lanrun;Fcl;30/10/2025;16/12/2025;39120;80196,0;2450,0;157752,54;240398,54;6,15;0,19;47,0;15,0;42,0;5723,77;0,0102;0,6562
BBI25016;30;Lanrun;Fcl;30/10/2025;16/12/2025;33080;99357,6;2450,0;195193,88;297001,48;8,98;0,19;47,0;15,0;50,0;5940,03;0,0082;0,6572
GOC24132;14;Everich;Fcl;03/11/2025;17/12/2025;596;1940,0;46,76;3838,95;5825,71;9,77;0,1;44,0;17,0;4,0;1456,43;0,008;0,659
BBI25080;1;Shenzhen Zhenxin;Aéreo;13/11/2025;26/11/2025;500000;35000,0;1603,72;47824,07;84427,79;0,17;0,0;13,0;10,0;0,0;;0,019;0,5664
BBI25052;2;Yiwu Honglu;Fcl;21/11/2025;15/01/2026;1775;5999,5;43,2;16897,56;22940,26;12,92;0,2;55,0;21,0;3,0;7646,75;0,0019;0,7366
BBI25015;24;Everich;Fcl;13/11/2025;29/12/2025;22700;94770,2;1897,22;181281,47;277948,89;12,24;0,2;46,0;16,0;50,0;5558,98;0,0068;0,6522
GOC25072;1;Ningbo Toprank;Fcl;13/11/2025;02/01/2026;32000;17600,0;2400,0;60504,75;80504,75;2,52;0,16;50,0;16,0;17,0;4735,57;0,0298;0,7516
GOC25095;1;Shenzhen Ilinois;Aéreo;27/11/2025;08/12/2025;15;22770,0;635,49;35605,89;59011,38;3934,09;0,02;11,0;9,0;0,0;;0,0108;0,6034
BBI25016;31;Lanrun;Fcl;13/11/2025;30/12/2025;34440;94912,4;2200,0;184445,76;281558,16;8,18;0,25;47,0;17,0;50,0;5631,16;0,0078;0,6551
BBI25016;32;Lanrun;Fcl;13/11/2025;30/12/2025;39000;79950,0;2200,0;155249,3;237399,3;6,09;0,25;47,0;17,0;42,0;5652,36;0,0093;0,654
BBI25070;1;Sanfeng;Lcl;07/12/2025;23/01/2026;45900;51408,0;410,0;102454,54;154272,54;3,36;-0,06;47,0;14,0;67,0;2302,58;0,0027;0,6641
BBI25036;23;Yns;Fcl;15/11/2025;09/01/2026;12080;55881,0;1050,0;170862,65;227793,65;18,86;0,36;55,0;17,0;29,0;7854,95;0,0046;0,7501
BBI25087;1;Sanfeng;Aéreo;20/11/2025;05/12/2025;14000;13400,0;5275,08;60461,78;79136,86;5,65;-0,07;15,0;9,0;7,0;11305,27;0,0667;0,764
BBI25066;1;Everich;Fcl;13/11/2025;29/12/2025;2112;9841,92;197,03;18826,15;28865,1;13,67;0,2;46,0;16,0;0,0;;0,0068;0,6522
BBI25073;1;Everich;Fcl;13/11/2025;29/12/2025;1065;5218,5;104,47;9982,23;15305,2;14,37;0,2;46,0;16,0;4,0;3826,3;0,0068;0,6522
BBI25015;25;Everich;Fcl;13/11/2025;02/01/2026;6072;17305,2;733,33;33773,6;51812,13;8,53;0,2;50,0;20,0;8,0;6476,52;0,0142;0,6518
BBI25066;2;Everich;Fcl;13/11/2025;02/01/2026;7440;26481,6;733,33;51682,65;78897,58;10,6;0,2;50,0;20,0;14,0;5635,54;0,0093;0,6551
BBI25073;2;Everich;Fcl;13/11/2025;02/01/2026;8280;39816,0;733,34;77709,7;118259,04;14,28;0,2;50,0;20,0;28,0;4223,54;0,0062;0,6571
BBI25014;7;Parisun;Fcl;23/11/2025;13/01/2026;13356;58691,92;2198,9;174350,24;235241,06;17,61;0,35;51,0;16,0;50,0;4704,82;0,0093;0,7412
BBI25044;2;Parisun;Fcl;23/11/2025;13/01/2026;3000;37560,0;2101,1;111569,07;151230,17;50,41;0,35;51,0;16,0;51,0;2965,3;0,0139;0,7377
BBI25065;1;Yns;Fcl;15/11/2025;09/01/2026;4560;28728,0;1050,0;87829,9;117607,9;25,79;0,36;55,0;17,0;23,0;5113,39;0,0089;0,7468
BBI25065;2;Yns;Fcl;15/11/2025;09/01/2026;2200;13860,0;1050,0;42379,75;57289,75;26,04;0,36;55,0;17,0;11,0;5208,16;0,0183;0,7397
BBI25062;1;Yns;Fcl;15/11/2025;09/01/2026;10490;50519,0;1050,0;154476,97;206045,97;19,64;0,36;55,0;17,0;43,0;4791,77;0,0051;0,7497
GOC24132;15;Everich;Fcl;13/11/2025;29/12/2025;20;64,0;1,28;122,42;187,7;9,39;0,2;46,0;16,0;1,0;187,7;0,0068;0,6522
BBI25016;33;Lanrun;Fcl;02/12/2025;14/01/2026;14680;43136,0;738,71;90065,11;133939,82;9,12;0,32;43,0;11,0;23,0;5823,47;0,0055;0,6724
GOC25096;1;Shenzhen Ilinois;Aéreo;27/11/2025;08/12/2025;1;1520,0;44,51;2376,75;3941,26;3941,26;0,02;11,0;9,0;0,0;;0,0113;0,603
BBI25015;26;Everich;Fcl;04/12/2025;21/01/2026;12342;44358,9;874,21;91977,83;137210,94;11,12;0,12;48,0;13,0;36,0;3811,41;0,0064;0,6703
BBI25066;3;Everich;Fcl;04/12/2025;21/01/2026;2205;11566,8;227,95;23983,44;35778,19;16,23;0,12;48,0;13,0;0,0;;0,0064;0,6703
BBI25073;3;Everich;Fcl;04/12/2025;21/01/2026;4185;20187,0;397,84;41859,91;62444,75;14,92;0,12;48,0;13,0;15,0;4162,98;0,0064;0,6704
GOC25100;1;Newcom;Lcl;14/12/2025;30/01/2026;288800;2599,2;11,27;10608,79;13219,26;0,05;-0,22;47,0;13,0;0,0;;0,0009;0,8025
BBI25073;4;Everich;Fcl;11/12/2025;29/01/2026;6210;30429,0;624,05;61558,9;92611,95;14,91;0,21;49,0;14,0;21,0;4410,09;0,0067;0,6647
BBI25015;27;Everich;Fcl;11/12/2025;29/01/2026;10482;42712,2;875,95;86408,24;129996,39;12,4;0,21;49,0;14,0;31,0;4193,43;0,0067;0,6647
BBI25077;1;Yushi Hongkong;Fcl;10/12/2025;30/01/2026;5880;20697,6;575,68;61782,91;83056,19;14,13;0,16;51,0;9,0;11,0;7550,56;0,0069;0,7439
BBI25084;1;Yushi Hongkong;Fcl;10/12/2025;30/01/2026;11650;56737,0;1424,32;169361,52;227522,84;19,53;0,16;51,0;9,0;45,0;5056,06;0,0063;0,7444
BBI25036;24;Yns;Fcl;10/12/2025;30/01/2026;3220;20286,0;505,15;60299,02;81090,17;25,18;0,16;51,0;9,0;17,0;4770,01;0,0062;0,7436
BBI25062;2;Yns;Fcl;10/12/2025;30/01/2026;8940;37548,0;935,0;111609,37;150092,37;16,79;0,16;51,0;9,0;16,0;9380,77;0,0062;0,7436
BBI25076;1;Yns;Fcl;10/12/2025;30/01/2026;2000;4000,0;99,61;11889,78;15989,39;7,99;0,16;51,0;9,0;5,0;3197,88;0,0062;0,7436
BBI25089;1;Yns;Fcl;10/12/2025;30/01/2026;7136;18482,24;460,24;54895,17;73837,64;10,35;0,16;51,0;9,0;13,0;5679,82;0,0062;0,7435
BBI25068;1;At Express;Fcl;13/12/2025;28/01/2026;813;12601,5;1850,0;26969,08;41420,58;50,95;0,21;46,0;10,0;46,0;900,45;0,0447;0,6511
BBI25068;2;At Express;Fcl;13/12/2025;28/01/2026;1405;16719,5;1850,0;35777,92;54347,42;38,68;0,21;46,0;10,0;45,0;1207,72;0,034;0,6583
BBI25068;3;At Express;Fcl;13/12/2025;03/02/2026;1330;15827,0;1850,0;41159,64;58836,64;44,24;0,21;52,0;16,0;42,0;1400,87;0,0314;0,6996
BBI25068;4;At Express;Fcl;13/12/2025;02/02/2026;813;12601,5;1850,0;32783,38;47234,88;58,1;0,21;51,0;15,0;46,0;1026,85;0,0392;0,6941
GOC25097;1;Dongguan Alljoyful;Fcl;23/12/2025;06/02/2026;188200;61366,0;1703,21;104535,47;167604,68;0,89;0,0;45,0;14,0;47,0;3566,06;0,0102;0,6237
GOC25108;1;Dongguan Alljoyful;Fcl;23/12/2025;06/02/2026;41800;13936,0;386,79;23807,96;38130,75;0,91;0,0;45,0;14,0;0,0;;0,0101;0,6244
BBI25073;5;Everich;Fcl;20/12/2025;05/02/2026;9990;48591,0;847,65;99309,2;148747,85;14,89;0,13;47,0;13,0;35,0;4249,94;0,0057;0,6676
BBI25015;28;Everich;Fcl;20/12/2025;05/02/2026;5532;21631,2;377,35;44210,21;66218,76;11,97;0,13;47,0;13,0;15,0;4414,58;0,0057;0,6676
BBI25014;8;Parisun;Fcl;18/12/2025;06/02/2026;10620;51788,4;1641,57;147309,41;200739,38;18,9;0,03;50,0;9,0;48,0;4182,07;0,0082;0,7338
BBI25044;3;Parisun;Fcl;18/12/2025;06/02/2026;500;1370,0;43,43;3896,3;5309,73;10,62;0,03;50,0;9,0;1,0;5309,73;0,0082;0,7338
BBI25016;34;Lanrun;Fcl;20/12/2025;05/02/2026;39200;92556,4;1225,0;180894,62;274676,02;7,01;0,13;47,0;13,0;0,0;;0,0045;0,6586
BBI25016;35;Lanrun;Fcl;20/12/2025;04/02/2026;30960;79398,0;1225,0;143897,53;224520,53;7,25;0,13;46,0;12,0;46,0;4880,88;0,0055;0,6409
